epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2272,1.33611,2.87021,1.64364,0.57454,0.85,0.87817,0.63489,1.64855,1.07194,1.38313,0,0,0
2,19.5485,1.20416,2.69498,1.511,0.56574,0.85,0.8488,0.6319,1.64595,1.06188,1.37349,1.17822e-06,1.17822e-06,1.17822e-06
3,24.7178,1.1601,3.63472,1.57315,0.55956,0.85,0.85083,0.61618,1.66648,1.06264,1.37909,2.33288e-06,2.33288e-06,2.33288e-06
4,29.8579,1.27724,2.74093,1.38866,0.56026,0.85,0.84952,0.61586,1.66034,1.05513,1.37779,3.46397e-06,3.46397e-06,3.46397e-06
5,34.9335,1.37198,3.08582,1.72634,0.5651,0.85,0.85526,0.63771,1.6585,1.04241,1.37136,4.5715e-06,4.5715e-06,4.5715e-06
6,40.0588,1.56189,4.11494,1.96485,0.54414,0.85,0.8936,0.63825,1.68524,1.06002,1.37761,5.65548e-06,5.65548e-06,5.65548e-06
7,45.1651,1.13976,1.91386,1.41952,0.53944,0.85173,0.89406,0.64255,1.68389,1.06081,1.37699,6.71588e-06,6.71588e-06,6.71588e-06
8,50.2663,1.37612,4.02047,1.61443,0.55029,0.85949,0.85911,0.61257,1.64325,1.05889,1.3529,7.75273e-06,7.75273e-06,7.75273e-06
9,55.3297,1.11618,2.70469,1.41099,0.56884,0.86386,0.81827,0.59503,1.66472,1.06088,1.36335,8.76602e-06,8.76602e-06,8.76602e-06
10,60.5411,1.18655,3.44802,1.59516,0.57996,0.86406,0.81417,0.59502,1.65654,1.05807,1.35665,9.75574e-06,9.75574e-06,9.75574e-06
11,65.6006,1.20761,2.46993,1.45278,0.59064,0.8637,0.85595,0.61995,1.6537,1.06469,1.35595,1.07219e-05,1.07219e-05,1.07219e-05
12,70.7644,0.9914,2.007,1.36598,0.58566,0.86399,0.85561,0.62083,1.66273,1.0752,1.36357,1.16645e-05,1.16645e-05,1.16645e-05
13,76.7819,0.87115,2.23866,1.132,0.59052,0.86667,0.85501,0.62082,1.64956,1.07494,1.35354,1.25835e-05,1.25835e-05,1.25835e-05
14,82.7001,1.0832,2.19029,1.4836,0.59793,0.86667,0.88803,0.62731,1.65286,1.09546,1.35795,1.3479e-05,1.3479e-05,1.3479e-05
15,87.8985,0.92887,1.64872,1.12293,0.60723,0.86667,0.88802,0.62731,1.65193,1.10304,1.35905,1.43509e-05,1.43509e-05,1.43509e-05
16,93.2098,1.22336,2.48132,1.62356,0.61055,0.86667,0.87512,0.62676,1.66354,1.12456,1.36866,1.51993e-05,1.51993e-05,1.51993e-05
17,98.4609,0.84439,1.78528,1.19115,0.62052,0.7,0.87291,0.62795,1.66266,1.13491,1.37158,1.60241e-05,1.60241e-05,1.60241e-05
18,103.467,1.1567,1.55251,1.36044,0.62052,0.7,0.87291,0.62795,1.66266,1.13491,1.37158,1.68253e-05,1.68253e-05,1.68253e-05
19,108.568,0.97843,1.90613,1.13551,0.77483,0.65,0.86188,0.61114,1.66974,1.17851,1.38057,1.7603e-05,1.7603e-05,1.7603e-05
20,113.591,0.89711,1.53673,1.21097,0.77483,0.65,0.86188,0.61114,1.66974,1.17851,1.38057,1.83571e-05,1.83571e-05,1.83571e-05
21,118.734,1.29223,2.49996,1.71343,0.77119,0.65,0.85531,0.6099,1.68239,1.21379,1.38742,1.90876e-05,1.90876e-05,1.90876e-05
22,123.701,1.08325,2.33973,1.51913,0.77119,0.65,0.85531,0.6099,1.68239,1.21379,1.38742,1.97946e-05,1.97946e-05,1.97946e-05
23,128.793,1.05868,1.82127,1.47225,0.74589,0.65,0.85514,0.6192,1.68139,1.23349,1.38512,2.0478e-05,2.0478e-05,2.0478e-05
24,133.75,1.12425,2.21487,1.54038,0.74589,0.65,0.85514,0.6192,1.68139,1.23349,1.38512,2.11379e-05,2.11379e-05,2.11379e-05
25,138.895,0.83463,1.47062,1.21033,0.71049,0.65473,0.85534,0.61104,1.68178,1.27548,1.38484,2.17741e-05,2.17741e-05,2.17741e-05
26,143.878,1.15282,1.86019,1.45065,0.71049,0.65473,0.85534,0.61104,1.68178,1.27548,1.38484,2.23869e-05,2.23869e-05,2.23869e-05
27,148.985,0.91843,1.67168,1.39784,0.70524,0.6685,0.85545,0.61336,1.70264,1.3041,1.39971,2.2976e-05,2.2976e-05,2.2976e-05
28,153.986,0.80106,1.24222,1.14049,0.70524,0.6685,0.85545,0.61336,1.70264,1.3041,1.39971,2.35417e-05,2.35417e-05,2.35417e-05
29,159.122,0.99737,1.52768,1.27177,0.70067,0.67248,0.85551,0.61082,1.6714,1.31132,1.37933,2.40837e-05,2.40837e-05,2.40837e-05
